county,year,population,fips,state,pop_date
SAN FRANCISCO,2015,863237.0,06075,CA,2015-07-01
SAN FRANCISCO,2016,871343.0,06075,CA,2016-07-01
SAN FRANCISCO,2017,877471.0,06075,CA,2017-07-01
SAN FRANCISCO,2018,879676.0,06075,CA,2018-07-01
SAN FRANCISCO,2019,878826.0,06075,CA,2019-07-01
SAN FRANCISCO,2020,866606.0,06075,CA,2020-07-01
SAN FRANCISCO,2021,853414.0,06075,CA,2021-07-01
SAN FRANCISCO,2022,837036.0,06075,CA,2022-07-01
SAN FRANCISCO,2023,831703.0,06075,CA,2023-07-01
SAN JOAQUIN,2015,721919.0,06077,CA,2015-07-01
SAN JOAQUIN,2016,732662.0,06077,CA,2016-07-01
SAN JOAQUIN,2017,743286.0,06077,CA,2017-07-01
SAN JOAQUIN,2018,752590.0,06077,CA,2018-07-01
SAN JOAQUIN,2019,761571.0,06077,CA,2019-07-01
SAN JOAQUIN,2020,767967.0,06077,CA,2020-07-01
SAN JOAQUIN,2021,780515.0,06077,CA,2021-07-01
SAN JOAQUIN,2022,782811.0,06077,CA,2022-07-01
SAN JOAQUIN,2023,786145.0,06077,CA,2023-07-01
SAN LUIS OBISPO,2015,280138.0,06079,CA,2015-07-01
SAN LUIS OBISPO,2016,281884.0,06079,CA,2016-07-01
SAN LUIS OBISPO,2017,282473.0,06079,CA,2017-07-01
SAN LUIS OBISPO,2018,283250.0,06079,CA,2018-07-01
SAN LUIS OBISPO,2019,282728.0,06079,CA,2019-07-01
SAN LUIS OBISPO,2020,282249.0,06079,CA,2020-07-01
SAN LUIS OBISPO,2021,278723.0,06079,CA,2021-07-01
SAN LUIS OBISPO,2022,279751.0,06079,CA,2022-07-01
SAN LUIS OBISPO,2023,278348.0,06079,CA,2023-07-01
SAN MATEO,2015,765479.0,06081,CA,2015-07-01
SAN MATEO,2016,767928.0,06081,CA,2016-07-01
SAN MATEO,2017,768658.0,06081,CA,2017-07-01
SAN MATEO,2018,768410.0,06081,CA,2018-07-01
SAN MATEO,2019,764810.0,06081,CA,2019-07-01
SAN MATEO,2020,758308.0,06081,CA,2020-07-01
SAN MATEO,2021,754439.0,06081,CA,2021-07-01
SAN MATEO,2022,740821.0,06081,CA,2022-07-01
SAN MATEO,2023,737644.0,06081,CA,2023-07-01
SANTA BARBARA,2015,442051.0,06083,CA,2015-07-01
SANTA BARBARA,2016,444112.0,06083,CA,2016-07-01
SANTA BARBARA,2017,444998.0,06083,CA,2017-07-01
SANTA BARBARA,2018,445137.0,06083,CA,2018-07-01
SANTA BARBARA,2019,445464.0,06083,CA,2019-07-01
SANTA BARBARA,2020,444766.0,06083,CA,2020-07-01
SANTA BARBARA,2021,441625.0,06083,CA,2021-07-01
SANTA BARBARA,2022,443156.0,06083,CA,2022-07-01
SANTA BARBARA,2023,440557.0,06083,CA,2023-07-01
SANTA CLARA,2015,1915736.0,06085,CA,2015-07-01
SANTA CLARA,2016,1928144.0,06085,CA,2016-07-01
SANTA CLARA,2017,1932251.0,06085,CA,2017-07-01
SANTA CLARA,2018,1931985.0,06085,CA,2018-07-01
SANTA CLARA,2019,1922411.0,06085,CA,2019-07-01
SANTA CLARA,2020,1907105.0,06085,CA,2020-07-01
SANTA CLARA,2021,1910551.0,06085,CA,2021-07-01
SANTA CLARA,2022,1890967.0,06085,CA,2022-07-01
SANTA CLARA,2023,1886079.0,06085,CA,2023-07-01
SANTA CRUZ,2015,273495.0,06087,CA,2015-07-01
SANTA CRUZ,2016,274476.0,06087,CA,2016-07-01
SANTA CRUZ,2017,274865.0,06087,CA,2017-07-01
SANTA CRUZ,2018,273713.0,06087,CA,2018-07-01
SANTA CRUZ,2019,272870.0,06087,CA,2019-07-01
SANTA CRUZ,2020,269925.0,06087,CA,2020-07-01
SANTA CRUZ,2021,265446.0,06087,CA,2021-07-01
SANTA CRUZ,2022,264912.0,06087,CA,2022-07-01
SANTA CRUZ,2023,262051.0,06087,CA,2023-07-01
SHASTA,2015,178386.0,06089,CA,2015-07-01
SHASTA,2016,178592.0,06089,CA,2016-07-01
SHASTA,2017,179403.0,06089,CA,2017-07-01
SHASTA,2018,179666.0,06089,CA,2018-07-01
SHASTA,2019,179645.0,06089,CA,2019-07-01
SHASTA,2020,179027.0,06089,CA,2020-07-01
SHASTA,2021,181887.0,06089,CA,2021-07-01
SHASTA,2022,180651.0,06089,CA,2022-07-01
SHASTA,2023,179436.0,06089,CA,2023-07-01
SIERRA,2015,2990.0,06091,CA,2015-07-01
SIERRA,2016,2956.0,06091,CA,2016-07-01
SIERRA,2017,3008.0,06091,CA,2017-07-01
SIERRA,2018,2961.0,06091,CA,2018-07-01
SIERRA,2019,2959.0,06091,CA,2019-07-01
SIERRA,2020,2920.0,06091,CA,2020-07-01
SIERRA,2021,3225.0,06091,CA,2021-07-01
SIERRA,2022,3212.0,06091,CA,2022-07-01
SIERRA,2023,3193.0,06091,CA,2023-07-01
SISKIYOU,2015,43275.0,06093,CA,2015-07-01
SISKIYOU,2016,43402.0,06093,CA,2016-07-01
SISKIYOU,2017,43647.0,06093,CA,2017-07-01
SISKIYOU,2018,43624.0,06093,CA,2018-07-01
SISKIYOU,2019,43663.0,06093,CA,2019-07-01
SISKIYOU,2020,43245.0,06093,CA,2020-07-01
SISKIYOU,2021,43931.0,06093,CA,2021-07-01
SISKIYOU,2022,43640.0,06093,CA,2022-07-01
SISKIYOU,2023,43548.0,06093,CA,2023-07-01
