County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Kern County,Female,40-44,26098,26198,26482
Kern County,Female,45-49,24756,24853,24852
Kern County,Female,50-54,24110,24185,24154
Kern County,Female,55-59,22906,22616,22839
Kern County,Female,60-64,23148,23036,22472
Kern County,Female,65-69,21055,21328,21700
Kern County,Female,70-74,16214,16913,17733
Kern County,Female,75-79,11814,12363,12862
Kern County,Female,80-84,7633,7926,8248
Kern County,Female,85-89,4391,4554,4733
Kern County,Female,90-94,2272,2309,2343
Kern County,Female,95-99,828,849,873
Kern County,Female,100+,42,73,105
Kern County,Male,0,6468,6363,6375
Kern County,Male,1-4,25718,25430,25120
Kern County,Male,5-9,35179,34674,34007
Kern County,Male,10-14,37230,36939,36805
Kern County,Male,15-19,37571,37876,37812
Kern County,Male,20-24,36365,36317,36288
Kern County,Male,25-29,35333,34454,34039
Kern County,Male,30-34,36037,37595,38201
Kern County,Male,35-39,30030,30693,31734
Kern County,Male,40-44,29119,29353,29370
Kern County,Male,45-49,25587,26101,26615
Kern County,Male,50-54,24489,24659,24559
Kern County,Male,55-59,23189,22939,23042
Kern County,Male,60-64,22480,22358,22136
Kern County,Male,65-69,19830,20010,20204
Kern County,Male,70-74,14367,14973,15638
Kern County,Male,75-79,9977,10376,10870
Kern County,Male,80-84,5973,6162,6311
Kern County,Male,85-89,3153,3369,3466
Kern County,Male,90-94,1400,1334,1446
Kern County,Male,95-99,349,373,371
Kern County,Male,100+,39,56,54
Kings County,Female,0,979,1019,1004
Kings County,Female,1-4,4284,4168,4081
Kings County,Female,5-9,5413,5425,5362
Kings County,Female,10-14,6207,6004,5876
Kings County,Female,15-19,6167,6233,6285
Kings County,Female,20-24,5444,5464,5534
Kings County,Female,25-29,5447,5570,5524
